transaccion_id,cliente_id,fecha_transaccion,monto_transaccion,tipo_transaccion,canal_origen,sucursal_codigo
1,1,2025-03-01 09:00:00,500.0,DEPOSITO,VENTANILLA,SUC001
2,2,2025-03-01 10:00:00,537.5,RETIRO,VENTANILLA,SUC002
3,3,2025-03-02 11:00:00,575.0,PAGO_SERVICIO,VENTANILLA,SUC003
4,4,2025-03-02 12:00:00,612.5,TRANSFERENCIA,VENTANILLA,SUC004
5,5,2025-03-03 13:00:00,650.0,DEPOSITO,VENTANILLA,SUC005
6,6,2025-03-03 09:00:00,687.5,RETIRO,VENTANILLA,SUC001
7,7,2025-03-04 10:00:00,725.0,PAGO_SERVICIO,VENTANILLA,SUC002
8,8,2025-03-04 11:00:00,762.5,TRANSFERENCIA,VENTANILLA,SUC003
9,9,2025-03-05 12:00:00,800.0,DEPOSITO,VENTANILLA,SUC004
10,10,2025-03-05 13:00:00,837.5,RETIRO,VENTANILLA,SUC005
11,11,2025-03-06 09:00:00,875.0,PAGO_SERVICIO,VENTANILLA,SUC001
12,12,2025-03-06 10:00:00,912.5,TRANSFERENCIA,VENTANILLA,SUC002
13,13,2025-03-07 11:00:00,950.0,DEPOSITO,VENTANILLA,SUC003
14,14,2025-03-07 12:00:00,987.5,RETIRO,VENTANILLA,SUC004
15,15,2025-03-08 13:00:00,1025.0,PAGO_SERVICIO,VENTANILLA,SUC005
16,16,2025-03-08 09:00:00,1062.5,TRANSFERENCIA,VENTANILLA,SUC001
17,17,2025-03-09 10:00:00,1100.0,DEPOSITO,VENTANILLA,SUC002
18,18,2025-03-09 11:00:00,1137.5,RETIRO,VENTANILLA,SUC003
19,19,2025-03-10 12:00:00,1175.0,PAGO_SERVICIO,VENTANILLA,SUC004
20,20,2025-03-10 13:00:00,1212.5,TRANSFERENCIA,VENTANILLA,SUC005
21,21,2025-03-11 09:00:00,1250.0,DEPOSITO,VENTANILLA,SUC001
22,22,2025-03-11 10:00:00,1287.5,RETIRO,VENTANILLA,SUC002
23,23,2025-03-12 11:00:00,1325.0,PAGO_SERVICIO,VENTANILLA,SUC003
24,24,2025-03-12 12:00:00,1362.5,TRANSFERENCIA,VENTANILLA,SUC004
25,25,2025-03-13 13:00:00,1400.0,DEPOSITO,VENTANILLA,SUC005
26,26,2025-03-13 09:00:00,1437.5,RETIRO,VENTANILLA,SUC001
27,27,2025-03-14 10:00:00,1475.0,PAGO_SERVICIO,VENTANILLA,SUC002
28,28,2025-03-14 11:00:00,1512.5,TRANSFERENCIA,VENTANILLA,SUC003
29,29,2025-03-15 12:00:00,1550.0,DEPOSITO,VENTANILLA,SUC004
30,30,2025-03-15 13:00:00,1587.5,RETIRO,VENTANILLA,SUC005
31,1,2025-03-16 09:00:00,1625.0,PAGO_SERVICIO,VENTANILLA,SUC001
32,2,2025-03-16 10:00:00,1662.5,TRANSFERENCIA,VENTANILLA,SUC002
33,3,2025-03-17 11:00:00,1700.0,DEPOSITO,VENTANILLA,SUC003
34,4,2025-03-17 12:00:00,1737.5,RETIRO,VENTANILLA,SUC004
35,5,2025-03-18 13:00:00,1775.0,PAGO_SERVICIO,VENTANILLA,SUC005
36,6,2025-03-18 09:00:00,1812.5,TRANSFERENCIA,VENTANILLA,SUC001
37,7,2025-03-19 10:00:00,1850.0,DEPOSITO,VENTANILLA,SUC002
38,8,2025-03-19 11:00:00,1887.5,RETIRO,VENTANILLA,SUC003
39,9,2025-03-20 12:00:00,1925.0,PAGO_SERVICIO,VENTANILLA,SUC004
40,10,2025-03-20 13:00:00,1962.5,TRANSFERENCIA,VENTANILLA,SUC005
41,11,2025-03-21 09:00:00,2000.0,DEPOSITO,VENTANILLA,SUC001
42,12,2025-03-21 10:00:00,2037.5,RETIRO,VENTANILLA,SUC002
43,13,2025-03-22 11:00:00,2075.0,PAGO_SERVICIO,VENTANILLA,SUC003
44,14,2025-03-22 12:00:00,2112.5,TRANSFERENCIA,VENTANILLA,SUC004
45,15,2025-03-23 13:00:00,2150.0,DEPOSITO,VENTANILLA,SUC005
46,16,2025-03-23 09:00:00,2187.5,RETIRO,VENTANILLA,SUC001
47,17,2025-03-24 10:00:00,2225.0,PAGO_SERVICIO,VENTANILLA,SUC002
48,18,2025-03-24 11:00:00,2262.5,TRANSFERENCIA,VENTANILLA,SUC003
49,19,2025-03-25 12:00:00,2300.0,DEPOSITO,VENTANILLA,SUC004
50,20,2025-03-25 13:00:00,2337.5,RETIRO,VENTANILLA,SUC005
51,21,2025-03-26 09:00:00,2375.0,PAGO_SERVICIO,VENTANILLA,SUC001
52,22,2025-03-26 10:00:00,2412.5,TRANSFERENCIA,VENTANILLA,SUC002
53,23,2025-03-27 11:00:00,2450.0,DEPOSITO,VENTANILLA,SUC003
54,24,2025-03-27 12:00:00,2487.5,RETIRO,VENTANILLA,SUC004
55,25,2025-03-28 13:00:00,2525.0,PAGO_SERVICIO,VENTANILLA,SUC005
56,26,2025-03-28 09:00:00,2562.5,TRANSFERENCIA,VENTANILLA,SUC001
57,27,2025-03-29 10:00:00,2600.0,DEPOSITO,VENTANILLA,SUC002
58,28,2025-03-29 11:00:00,2637.5,RETIRO,VENTANILLA,SUC003
59,29,2025-03-30 12:00:00,2675.0,PAGO_SERVICIO,VENTANILLA,SUC004
60,30,2025-03-30 13:00:00,2712.5,TRANSFERENCIA,VENTANILLA,SUC005
